url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,292776768.sb3,14,1/4,4/4,0/4,2/4,2/4,1/4,1/4,0/4,3/4,2,0,2,1,None,Default,10,1/3,3/3,0/3,2/3,2/3,1/3,1/3,47
,274397112.sb3,33,4/4,4/4,4/4,4/4,4/4,3/4,4/4,2/4,4/4,2,1,6,1,None,Default,21,3/3,3/3,3/3,3/3,3/3,3/3,3/3,473
,265156318.sb3,28,4/4,4/4,4/4,3/4,4/4,2/4,4/4,0/4,3/4,0,0,1,2,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,352
,302582372.sb3,12,1/4,3/4,0/4,3/4,2/4,1/4,1/4,0/4,1/4,0,0,5,1,None,Default,11,1/3,3/3,0/3,3/3,2/3,1/3,1/3,90
,277791124.sb3,9,1/4,1/4,0/4,0/4,2/4,1/4,1/4,2/4,1/4,0,0,13,1,None,Default,6,1/3,1/3,0/3,0/3,2/3,1/3,1/3,137
,305172747.sb3,13,1/4,1/4,0/4,2/4,2/4,2/4,1/4,1/4,3/4,0,0,0,2,None,Default,9,1/3,1/3,0/3,2/3,2/3,2/3,1/3,28
,303336800.sb3,26,3/4,4/4,3/4,3/4,4/4,2/4,4/4,0/4,3/4,0,0,6,0,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,100
,299935511.sb3,25,4/4,3/4,4/4,3/4,2/4,1/4,4/4,1/4,3/4,0,1,0,0,None,Default,18,3/3,3/3,3/3,3/3,2/3,1/3,3/3,150
,292649923.sb3,15,1/4,4/4,0/4,2/4,2/4,1/4,1/4,0/4,4/4,0,0,1,1,None,Default,10,1/3,3/3,0/3,2/3,2/3,1/3,1/3,200
,307646465.sb3,26,1/4,4/4,4/4,3/4,2/4,3/4,4/4,1/4,4/4,0,1,1,4,None,Default,18,1/3,3/3,3/3,3/3,2/3,3/3,3/3,256
